sam_address_id,full_address,mailing_neighborhood,state,zip_code,x_coord,y_coord,recollect,trashday,pwd_district
164653,537 E Broadway,South Boston,MA,2127,-71.0427286,42.335148413778064,W5,W,5
336819,7 Wilcock St # 3,Dorchester,MA,2124,-71.09119568,42.28686757140679,M,M,7
432978,3593-3615 Washington St #37,Jamaica Plain,MA,2130,-71.11104649,42.30377287413396,F,F,2
271775,409 Massachusetts Ave #3,Roxbury,MA,2118,-71.08284054,42.34103955390196,TF,TF,10
269786,6 Marlborough St #1D,Boston,MA,2116,-71.07275049,42.35422953930471,MTH,MTH,1
343207,148-150 Meridian St,East Boston,MA,2128,-71.03925696,42.373987645976506,T,T,9
192778,1191 Boylston St #43,Boston,MA,2215,-71.09423355,42.34618356826449,TF,TF,10
108179,60 Parkton Rd # 3,Jamaica Plain,MA,2130,-71.11457065,42.32210959890404,T,T,2
188838,3 Bird St #4,Dorchester,MA,2125,-71.06622056,42.31487953424893,W,W,3
24522,90 Bynner St #11,Jamaica Plain,MA,2130,-71.11258091,42.32381623709122,MTH,MTH,10
123705,46 Saybrook St,Brighton,MA,2135,-71.14740566,42.35457263678331,T,T,4
402857,20 Holmes St,Allston,MA,2134,-71.1322106,42.36192961544396,F,F,4
127671,601 E Sixth St,South Boston,MA,2127,-71.03639045,42.33296949290552,T5,T,5
110525,145 Pinckney St # 432,Boston,MA,2114,-71.07166048,42.35894953703859,MF,MF,1
438092,265 Sumner St,East Boston,MA,2128,-71.03788738,42.36793149,W,W,9
380258,1 Shandon Rd # 177,Dorchester,MA,2124,-71.08904066,42.29459957,M,M,7
409600,2000 Commonwealth Ave #801,Brighton,MA,2135,-71.15852071,42.33941965,TH,TH,4
149920,50 William T Morrissey Blvd,Dorchester,MA,2125,-71.04837651,42.31799750943669,,,
161576,7-8 Anthony J Grieco Ter,East Boston,MA,2128,-71.03655018,42.37250502335783,W,W,9
78819,31 Iona St,Roslindale,MA,2131,-71.14631081,42.28496964820346,T,T,6
340295,72 Wellington Hill St,Mattapan,MA,2126,-71.09599769,42.28146388153035,M,M,7
323875,55 Union St # 4,Boston,MA,2108,-71.05708044,42.361649518267214,MF,MF,1
297486,7 Ranelegh Rd # 3,Brighton,MA,2135,-71.16077068,42.355659653748994,M,M,4
280064,95 Munroe St #3,Roxbury,MA,2119,-71.0887706,42.31900956431206,MTH,MTH,10
123300,251 Savin Hill Ave,Dorchester,MA,2125,-71.04682053,42.31060950805007,F,F,3
133875,26 Taunton Ave,Mattapan,MA,2126,-71.10901076,42.26887959871453,F,F,8
194821,37 Braddock Park #2,Boston,MA,2116,-71.07887052,42.34466954826923,TF,TF,1
431925,860 Harrison Ave #72,Roxbury,MA,2118,-71.07532603,42.33450135350768,TF,TF,10
132575,79 Sumner St #3,Dorchester,MA,2125,-71.06252055,42.31694952885928,TH,TH,3
30295,104 Chelsea St,East Boston,MA,2128,-71.03601037,42.37256949024746,W,W,9
180236,49 Aspinwall Rd # 3,Dorchester,MA,2124,-71.07467063,42.291449548008806,T,T,7
200848,437 Cambridge St #22,Allston,MA,2134,-71.13479063,42.35489962,F,F,4
399555,59 Neponset Ave,Roslindale,MA,2131,-71.11582074,42.28628960580995,TH,TH,2
178876,1 Arcadia Park # 3,Dorchester,MA,2122,-71.06274558,42.30128653,T,T,3
